VERTEX	DEGFAC
ABCB6	0.04910286161402363
ABCB8	0.024551430807011814
ABCC1	0.08593000782454135
ABCF1	0.1841357310525886
ABCF2	0.09820572322804726
ABHD10	0.024551430807011814
ACAA1	0.012275715403505907
ACHE	0.012275715403505907
ACOT7	0.06137857701752954
ACTL6A	0.20868716185960043
ACTL6B	0.03682714621051772
ACTR1A	0.135032869438565
ACVR2A	0.06137857701752954
ACVR2B	0.03682714621051772
ADAM15	0.08593000782454135
ADCK1	0.08593000782454135
ADCY9	0.012275715403505907
ADM	0.024551430807011814
AGAP3	0.04910286161402363
AGFG1	0.08593000782454135
AGFG2	0.024551430807011814
AGTRAP	0.09820572322804726
AHNAK	0.24551430807011815
AKAP9	0.1595843002455768
AKT2	0.08593000782454135
ALDH18A1	0.1595843002455768
ALG10B	0.024551430807011814
AMIGO1	0.08593000782454135
AMIGO3	0.024551430807011814
AMPD3	0.03682714621051772
ANAPC7	0.11048143863155316
ANK2	0.11048143863155316
ANKRD13A	0.04910286161402363
ANO3	0.012275715403505907
AP4M1	0.024551430807011814
APEH	0.04910286161402363
APOBEC3B	0.024551430807011814
APOC1	0.04910286161402363
APOC2	0.03682714621051772
APOC4	0.024551430807011814
APOE	0.1841357310525886
APOH	0.012275715403505907
ARF1	0.1595843002455768
ARHGAP24	0.012275715403505907
ARHGAP44	0.012275715403505907
ARHGEF16	0.024551430807011814
ARHGEF40	0.07365429242103544
ARL6IP5	0.04910286161402363
ARMC9	0.012275715403505907
ARPC3	0.11048143863155316
ASAP3	0.012275715403505907
ASB10	0.012275715403505907
ASCL2	0.03682714621051772
ASF1A	0.11048143863155316
ASIC4	0.08593000782454135
ATF6	0.024551430807011814
ATG9A	0.04910286161402363
ATP1B1	0.22096287726310632
ATP2A2	0.24551430807011815
ATP5F1B	0.4787529007367304
ATP6V0E1	0.012275715403505907
ATP6V1C1	0.06137857701752954
ATPAF2	0.04910286161402363
ATXN7L2	0.012275715403505907
AUNIP	0.012275715403505907
AZGP1	0.06137857701752954
B3GAT3	0.024551430807011814
BAALC	0.012275715403505907
BAZ2A	0.024551430807011814
BAZ2B	0.012275715403505907
BCAM	0.012275715403505907
BCAT1	0.012275715403505907
BCL11A	0.012275715403505907
BCL2L2	0.07365429242103544
BCL3	0.07365429242103544
BET1	0.3191686004911536
BLMH	0.07365429242103544
BLVRB	0.012275715403505907
BLZF1	0.08593000782454135
BMP2	0.024551430807011814
BMP6	0.024551430807011814
BNIP1	0.04910286161402363
BRD8	0.024551430807011814
BRD9	0.04910286161402363
BSCL2	0.07365429242103544
BZW1	0.04910286161402363
C11orf45	0.012275715403505907
C11orf98	0.012275715403505907
C19orf47	0.03682714621051772
C1orf112	0.024551430807011814
C1orf35	0.08593000782454135
C3orf52	0.12275715403505907
C6orf89	0.012275715403505907
CA9	0.1841357310525886
CACNA1C	0.29461716968414176
CACNA1D	0.04910286161402363
CACNA2D1	0.08593000782454135
CACNA2D4	0.012275715403505907
